addrId,street,city,state
1,"9608 Annamark Avenue","Palo Alto",CA
2,"70736 Sommers Way",Bradenton,FL
3,"6709 Hayes Park",Glendale,AZ
4,"768 Hermina Alley",Columbus,OH
5,"9128 Lake View Lane",Milwaukee,WI
6,"1528 Manufacturers Terrace",Pensacola,FL
7,"394 Saint Paul Point",Mesa,AZ
8,"3 Karstens Crossing",Savannah,GA
9,"684 Weeping Birch Plaza",Buffalo,NY
10,"0729 Lotheville Street",Charlotte,NC
11,"62385 Pierstorff Drive",Clearwater,FL
12,"4 Lakeland Park",Akron,OH
13,"77401 Meadow Ridge Avenue",Baltimore,MD
14,"80249 Ryan Parkway",Portsmouth,VA
15,"83174 Johnson Crossing",Springfield,MO
16,"2 Bellgrove Place","Great Neck",NY
17,"3963 Logan Point",Flint,MI
18,"4005 Ryan Alley",Topeka,KS
19,"59 Blue Bill Park Pass",Columbia,SC
20,"80699 Hallows Point",Phoenix,AZ
21,"5113 Boyd Hill",Fairfax,VA
22,"8680 Golf Course Park",Fayetteville,NC
23,"61 Corben Terrace",Washington,DC
24,"5839 Tennessee Alley",Amarillo,TX
25,"38295 John Wall Hill",Irving,TX
26,"22998 Knutson Pass",Hartford,CT
27,"48 Maywood Plaza",Atlanta,GA
28,"477 Petterle Park",Athens,GA
29,"8 Tony Pass",Phoenix,AZ
30,"39244 Carberry Point",Savannah,GA
31,"781 Union Junction",Birmingham,AL
32,"04 Pawling Drive","San Antonio",TX
33,"5268 Rusk Plaza",Yakima,WA
34,"20580 Bonner Avenue",Pueblo,CO
35,"511 Mifflin Alley",Indianapolis,IN
36,"574 Kennedy Pass",Bronx,NY
37,"82 Hooker Park",Houston,TX
38,"01 Moland Terrace",Troy,MI
39,"09755 4th Trail",Lincoln,NE
40,"66992 Meadow Vale Court",Houston,TX
41,"199 Trailsway Plaza",Toledo,OH
42,"1704 Kennedy Circle",Roanoke,VA
43,"1 Clarendon Alley",Spring,TX
44,"178 Miller Point",Brooklyn,NY
45,"44217 Sauthoff Drive","El Paso",TX
46,"8 Anzinger Trail","Grand Rapids",MI
47,"6750 Summit Way","Redwood City",CA
48,"26913 Eagan Point","El Paso",TX
49,"9919 5th Street",Levittown,PA
50,"66611 Northwestern Court",Cumming,GA
51,"7053 Oxford Road","Santa Fe",NM
52,"1 Manufacturers Crossing",Phoenix,AZ
53,"6 Melby Court","San Diego",CA
54,"5236 Katie Park","Oklahoma City",OK
55,"73 Marquette Lane","Sioux Falls",SD
56,"3340 Surrey Drive",Mobile,AL
57,"69 Susan Plaza",Jacksonville,FL
58,"63 Texas Pass",Columbus,GA
59,"915 Fremont Road",Portland,ME
60,"7274 Debs Crossing",Brooklyn,NY
61,"31569 Atwood Pass",Washington,DC
62,"8560 Autumn Leaf Way","North Little Rock",AR
63,"19427 Jay Avenue",Montgomery,AL
64,"38817 Northridge Parkway",Houston,TX
65,"09143 Fieldstone Hill",Ridgely,MD
66,"17888 Harbort Drive",Phoenix,AZ
67,"8 Kensington Lane","Saint Paul",MN
68,"39504 Briar Crest Way",Yonkers,NY
69,"8 Farragut Drive","Saint Louis",MO
70,"5 Kennedy Pass",Washington,DC
71,"115 Hagan Avenue",Denver,CO
72,"046 Columbus Way","Saint Paul",MN
73,"4551 Lakewood Gardens Parkway",Montgomery,AL
74,"51788 Mayer Court",Vancouver,WA
75,"9568 Portage Point","Wilkes Barre",PA
76,"76151 Sage Place","Garden Grove",CA
77,"414 Rieder Road",Reading,PA
78,"71107 Merry Junction","Santa Rosa",CA
