cellId,capacity,blockId
1,4,1
2,4,2
3,4,3
4,5,4
5,4,5
6,4,6
7,6,7
8,5,8
9,4,9
10,4,10
11,6,11
12,4,12
13,5,13
14,5,14
15,5,15
16,4,16
17,4,17
18,4,18
19,4,19
20,6,20
21,6,21
22,4,22
23,4,23
24,4,24
25,4,25
26,5,26
27,6,27
28,4,28
29,5,29
30,6,30
31,4,1
32,5,2
33,4,3
34,5,4
35,4,5
36,4,6
37,4,7
38,6,8
39,4,9
40,4,10
41,6,11
42,6,12
43,4,13
44,5,14
45,5,15
46,5,16
47,6,17
48,6,18
49,4,19
50,6,20
51,4,21
52,5,22
53,5,23
54,6,24
55,6,25
56,4,26
57,4,27
58,4,28
59,6,29
60,4,30
61,6,1
62,5,2
63,4,3
64,5,4
65,5,5
66,6,6
67,6,7
68,6,8
69,5,9
70,4,10
71,4,11
72,6,12
73,5,13
74,4,14
75,5,15
76,4,16
77,4,17
78,4,18
79,5,19
80,6,20
81,4,21
82,5,22
83,5,23
84,4,24
85,4,25
86,5,26
87,6,27
88,4,28
89,4,29
90,6,30
91,5,1
92,6,2
93,4,3
94,4,4
95,4,5
96,6,6
97,5,7
98,5,8
99,4,9
100,6,10
101,4,11
102,5,12
103,4,13
104,5,14
105,4,15
106,6,16
107,6,17
108,4,18
109,5,19
110,5,20
111,5,21
112,5,22
113,4,23
114,4,24
115,4,25
116,4,26
117,5,27
118,6,28
119,5,29
120,5,30
121,6,1
122,6,2
123,4,3
124,5,4
125,5,5
126,4,6
127,5,7
128,4,8
129,6,9
130,4,10
131,4,11
132,5,12
133,5,13
134,4,14
135,6,15
136,6,16
137,5,17
138,6,18
139,4,19
140,4,20
141,5,21
142,4,22
143,6,23
144,4,24
145,6,25
146,6,26
147,5,27
148,6,28
149,6,29
150,6,30
