prisonerId,crimeId,servingtime
1,3,11
2,7,9
3,4,17
4,5,10
5,6,19
6,5,26
7,7,26
8,9,25
9,8,8
10,4,14
11,5,20
12,7,7
13,4,20
14,3,21
15,6,26
16,3,25
17,4,15
18,10,26
19,9,17
20,7,22
21,1,9
22,10,9
23,5,27
24,3,19
25,2,23
26,6,14
27,10,18
28,1,30
29,10,21
30,10,29
31,3,6
32,10,11
33,8,22
34,2,23
35,10,7
36,9,6
37,2,16
38,9,14
39,10,20
40,3,29
41,10,13
42,3,28
43,5,5
44,6,17
45,5,19
46,8,6
47,5,11
48,10,11
49,4,23
50,8,25
51,8,24
52,2,16
53,2,19
54,1,21
55,7,14
56,3,29
57,7,24
58,2,11
59,10,9
60,1,5
61,1,15
62,8,30
63,6,15
64,4,13
65,4,13
66,8,7
67,8,15
68,1,30
69,1,17
70,2,30
71,9,27
72,8,17
73,7,15
74,3,13
75,5,7
76,9,11
77,1,27
78,8,27
79,7,10
80,8,7
81,2,19
82,9,25
83,10,26
84,6,25
85,5,12
86,2,16
87,6,5
88,3,17
89,3,19
90,10,15
91,5,29
92,10,7
93,2,9
94,7,21
95,10,12
96,1,13
97,9,19
98,2,16
99,1,20
100,5,20
101,3,16
102,1,27
103,3,6
104,8,14
105,2,27
106,9,7
107,5,29
108,6,7
109,3,6
110,7,25
111,10,26
112,9,28
113,10,20
114,3,28
115,1,5
116,7,16
117,1,8
118,5,19
119,1,9
120,8,22
121,1,23
122,5,24
123,10,22
124,5,16
125,8,5
126,7,16
127,2,28
128,3,12
129,2,17
130,9,20
131,5,28
132,7,6
133,6,19
134,6,14
135,1,9
136,7,8
137,9,30
138,10,24
139,7,18
140,6,15
141,1,16
142,6,10
143,6,11
144,1,6
145,9,23
146,4,23
147,5,20
148,1,16
149,4,27
150,3,8
151,3,10
152,2,23
153,6,19
154,7,14
155,6,9
156,3,7
157,9,6
158,5,8
159,10,21
160,8,18
161,5,19
162,1,21
163,4,7
164,3,11
165,5,6
166,9,30
167,1,18
168,4,30
169,8,14
170,6,19
171,9,13
172,10,13
173,8,27
174,5,23
175,8,8
176,2,9
177,3,11
178,3,23
179,3,26
180,7,23
181,8,26
182,3,16
183,9,8
184,8,22
185,6,12
186,4,26
187,8,27
188,10,19
189,3,22
190,1,27
191,9,7
192,10,24
193,4,18
194,3,28
195,10,26
196,10,24
197,7,22
198,10,21
199,5,13
200,3,26
201,7,13
202,2,7
203,7,11
204,8,24
205,6,7
206,8,22
207,8,28
208,10,26
209,10,5
210,5,29
211,4,20
212,3,28
213,4,30
214,9,24
215,9,24
216,1,22
217,3,10
218,3,15
219,3,20
220,7,11
221,8,18
222,3,29
223,3,28
224,10,19
225,4,13
226,8,13
227,5,20
228,8,14
229,5,22
230,2,29
231,5,24
232,1,8
233,2,25
234,4,11
235,4,8
236,10,21
237,1,8
238,2,11
239,7,5
240,8,10
241,6,12
242,5,27
243,1,30
244,3,20
245,10,19
246,1,17
247,5,22
248,9,5
249,5,18
250,8,13
251,10,17
252,1,18
253,9,12
254,10,17
255,4,20
256,8,15
257,1,8
258,2,19
