prisonerId,cellId,blockId
1,1,1
31,31,1
61,61,1
91,91,1
121,121,1
151,1,1
181,31,1
211,61,1
241,91,1
271,121,1
301,1,1
331,31,1
361,61,1
391,91,1
421,121,1
451,1,1
481,31,1
2,2,2
32,32,2
62,62,2
92,92,2
122,122,2
152,2,2
182,32,2
212,62,2
242,92,2
272,122,2
302,2,2
332,32,2
362,62,2
392,92,2
422,122,2
452,2,2
482,32,2
3,3,3
33,33,3
63,63,3
93,93,3
123,123,3
153,3,3
183,33,3
213,63,3
243,93,3
273,123,3
303,3,3
333,33,3
363,63,3
393,93,3
423,123,3
453,3,3
483,33,3
4,4,4
34,34,4
64,64,4
94,94,4
124,124,4
154,4,4
184,34,4
214,64,4
244,94,4
274,124,4
304,4,4
334,34,4
364,64,4
394,94,4
424,124,4
454,4,4
484,34,4
5,5,5
35,35,5
65,65,5
95,95,5
125,125,5
155,5,5
185,35,5
215,65,5
245,95,5
275,125,5
305,5,5
335,35,5
365,65,5
395,95,5
425,125,5
455,5,5
485,35,5
6,6,6
36,36,6
66,66,6
96,96,6
126,126,6
156,6,6
186,36,6
216,66,6
246,96,6
276,126,6
306,6,6
336,36,6
366,66,6
396,96,6
426,126,6
456,6,6
486,36,6
7,7,7
37,37,7
67,67,7
97,97,7
127,127,7
157,7,7
187,37,7
217,67,7
247,97,7
277,127,7
307,7,7
337,37,7
367,67,7
397,97,7
427,127,7
457,7,7
487,37,7
8,8,8
38,38,8
68,68,8
98,98,8
128,128,8
158,8,8
188,38,8
218,68,8
248,98,8
278,128,8
308,8,8
338,38,8
368,68,8
398,98,8
428,128,8
458,8,8
488,38,8
9,9,9
39,39,9
69,69,9
99,99,9
129,129,9
159,9,9
189,39,9
219,69,9
249,99,9
279,129,9
309,9,9
339,39,9
369,69,9
399,99,9
429,129,9
459,9,9
489,39,9
10,10,10
40,40,10
70,70,10
100,100,10
130,130,10
160,10,10
190,40,10
220,70,10
250,100,10
280,130,10
310,10,10
340,40,10
370,70,10
400,100,10
430,130,10
460,10,10
490,40,10
11,11,11
41,41,11
71,71,11
101,101,11
131,131,11
161,11,11
191,41,11
221,71,11
251,101,11
281,131,11
311,11,11
341,41,11
371,71,11
401,101,11
431,131,11
461,11,11
491,41,11
12,12,12
42,42,12
72,72,12
102,102,12
132,132,12
162,12,12
192,42,12
222,72,12
252,102,12
282,132,12
312,12,12
342,42,12
372,72,12
402,102,12
432,132,12
462,12,12
492,42,12
13,13,13
43,43,13
73,73,13
103,103,13
133,133,13
163,13,13
193,43,13
223,73,13
253,103,13
283,133,13
313,13,13
343,43,13
373,73,13
403,103,13
433,133,13
463,13,13
493,43,13
14,14,14
44,44,14
74,74,14
104,104,14
134,134,14
164,14,14
194,44,14
224,74,14
254,104,14
284,134,14
314,14,14
344,44,14
374,74,14
404,104,14
434,134,14
464,14,14
494,44,14
15,15,15
45,45,15
75,75,15
105,105,15
135,135,15
165,15,15
195,45,15
225,75,15
255,105,15
285,135,15
315,15,15
345,45,15
375,75,15
405,105,15
435,135,15
465,15,15
495,45,15
16,16,16
46,46,16
76,76,16
106,106,16
136,136,16
166,16,16
196,46,16
226,76,16
256,106,16
286,136,16
316,16,16
346,46,16
376,76,16
406,106,16
436,136,16
466,16,16
496,46,16
17,17,17
47,47,17
77,77,17
107,107,17
137,137,17
167,17,17
197,47,17
227,77,17
257,107,17
287,137,17
317,17,17
347,47,17
377,77,17
407,107,17
437,137,17
467,17,17
497,47,17
18,18,18
48,48,18
78,78,18
108,108,18
138,138,18
168,18,18
198,48,18
228,78,18
258,108,18
288,138,18
318,18,18
348,48,18
378,78,18
408,108,18
438,138,18
468,18,18
498,48,18
19,19,19
49,49,19
79,79,19
109,109,19
139,139,19
169,19,19
199,49,19
229,79,19
259,109,19
289,139,19
319,19,19
349,49,19
379,79,19
409,109,19
439,139,19
469,19,19
499,49,19
20,20,20
50,50,20
80,80,20
110,110,20
140,140,20
170,20,20
200,50,20
230,80,20
260,110,20
290,140,20
320,20,20
350,50,20
380,80,20
410,110,20
440,140,20
470,20,20
500,50,20
21,21,21
51,51,21
81,81,21
111,111,21
141,141,21
171,21,21
201,51,21
231,81,21
261,111,21
291,141,21
321,21,21
351,51,21
381,81,21
411,111,21
441,141,21
471,21,21
22,22,22
52,52,22
82,82,22
112,112,22
142,142,22
172,22,22
202,52,22
232,82,22
262,112,22
292,142,22
322,22,22
352,52,22
382,82,22
412,112,22
442,142,22
472,22,22
23,23,23
53,53,23
83,83,23
113,113,23
143,143,23
173,23,23
203,53,23
233,83,23
263,113,23
293,143,23
323,23,23
353,53,23
383,83,23
413,113,23
443,143,23
473,23,23
24,24,24
54,54,24
84,84,24
114,114,24
144,144,24
174,24,24
204,54,24
234,84,24
264,114,24
294,144,24
324,24,24
354,54,24
384,84,24
414,114,24
444,144,24
474,24,24
25,25,25
55,55,25
85,85,25
115,115,25
145,145,25
175,25,25
205,55,25
235,85,25
265,115,25
295,145,25
325,25,25
355,55,25
385,85,25
415,115,25
445,145,25
475,25,25
26,26,26
56,56,26
86,86,26
116,116,26
146,146,26
176,26,26
206,56,26
236,86,26
266,116,26
296,146,26
326,26,26
356,56,26
386,86,26
416,116,26
446,146,26
476,26,26
27,27,27
57,57,27
87,87,27
117,117,27
147,147,27
177,27,27
207,57,27
237,87,27
267,117,27
297,147,27
327,27,27
357,57,27
387,87,27
417,117,27
447,147,27
477,27,27
28,28,28
58,58,28
88,88,28
118,118,28
148,148,28
178,28,28
208,58,28
238,88,28
268,118,28
298,148,28
328,28,28
358,58,28
388,88,28
418,118,28
448,148,28
478,28,28
29,29,29
59,59,29
89,89,29
119,119,29
149,149,29
179,29,29
209,59,29
239,89,29
269,119,29
299,149,29
329,29,29
359,59,29
389,89,29
419,119,29
449,149,29
479,29,29
30,30,30
60,60,30
90,90,30
120,120,30
150,150,30
180,30,30
210,60,30
240,90,30
270,120,30
300,150,30
330,30,30
360,60,30
390,90,30
420,120,30
450,150,30
480,30,30
